NODE	X	Y	NAME
1	79765	459166	Zwarte Pad
2	79392	458813	Kurhaus
3	79187	458566	Scheveningseslag
4	78923	458251	Badhuiskade
5	78909	457787	Keizerstraat
6	79041	457564	Duinstraat
7	79218	457324	Frankenslag
8	79516	456923	World Forum
9	79789	456561	Adriaan Goekooplaan
10	80057	456172	Ary van der Spuyweg
11	80321	455903	Vredespaleis
12	80722	455897	Javastraat
13	80887	455628	Mauritskade
14	81091	455159	Kneuterdijk
15	81408	45165	Centrum
16	81741	454573	Bierkade
17	81948	453988	Station Hollands Spoor
18	81884	453575	Leeghwaterplein
19	82157	453158	Oudemansstraat
20	82257	452962	Lorentzplein
21	82827	452790	Broeksloot
22	83013	452471	Herenstraat
23	83202	452131	Hoornbrug
24	83514	451665	Broekpolder
25	83430	451120	's-Gravenmade
26	83453	450806	Vlietbrug
27	83542	449867	Verffabriek
28	83894	448797	Brasserskade
29	83959	448071	Nieuwe Plantage
30	84007	447436	Prinsenhof
31	84266	446993	Delft Station
32	84034	446396	Krakeelpolderweg
33	84079	446026	Hovenpassage
34	83773	445728	Martinus Nijhofflaan
35	83366	445594	Diepenbrockstraat
36	83359	445031	Van der Slootsingel
37	83291	444417	Sadatweg
38	83160	444024	Bikolaan
39	83748	444006	Abtswoudsepark
40	76026	451695	Kraayensteinlaan
41	76177	451878	Kapelaan Meereboerweg
42	76236	452256	Loosduinse Hoofdstraat
43	76408	452399	Burgemeester Hovylaan
44	76697	452536	Buitentuinen
45	77324	452952	Walnootstraat
46	77694	453224	Thorbeckelaan
47	77866	453331	Nieuwendamlaan
48	78135	453505	Laan van Eik en Duinen
49	78437	453656	Kamperfoeliestraat
50	78813	453845	Valkenboslaan
51	79045	453940	Fahrenheitstraat
52	79461	454104	De la Reyweg
53	79948	454321	Monstersestraat
54	80395	454319	HMC Westeinde
55	80714	454380	Brouwersgracht
56	81057	454566	Grote Markt
57	81443	454772	Spui
58	82115	455183	Centraal Station
59	82723	455294	Ternoot
60	83115	455484	Oostinje
61	83361	455232	Stuyvesantstraat
62	83547	454965	Station Laan van NOI
63	83866	454819	Bruijnings Ingenhoeslaan
64	84167	454701	Mgr. van Steelaan
65	84578	454933	Prinses Beatrixlaan
66	84923	455199	Voorburg 't Loo
67	85243	455478	Elzendreef
68	85451	455801	Essesteijn
69	86112	456222	Leidsenhage
70	86110	456392	HMC Antoniushove
71	75811	452337	Arnold Spoelplein
72	75473	452642	Pisuissestraat
73	75779	452913	Mozartlaan
74	75698	453236	Heliotrooplaan
75	75951	453364	Muurbloemweg
76	76289	453518	Hoefbladlaan
77	76722	453722	De Savornin Lohmanplein
78	77111	453953	Appelstraat
79	77444	454152	Zonnebloemstraat
80	77814	454371	Azaleaplein
81	78194	454577	Goudenregenstraat
82	78494	454745	Fahrenheitstraat
83	78834	454939	Valkenbosplein
84	79298	455173	Conradkade
85	79648	455253	Van Speijkstraat
86	79942	454897	Elandstraat
87	82849	455048	Beatrixkwartier
88	83361	454918	Laan van NOI
89	84941	455276	Voorburg 't Loo
90	86077	455734	Leidschendam-Voorburg
91	86814	453868	Forepark
92	87303	453292	Leidschenveen
93	92156	453002	Voorweg
94	93004	452759	Centrum-West 
95	93663	452799	Stadhuis
96	94574	452635	Palenstein
97	95196	453011	Seghwaert
98	94808	453671	Leidsewallen
99	93811	454005	De Leyens
100	92663	453439	Buytenwegh
101	92062	452186	Meerzicht
102	92525	451335	Driemanspolder
103	93227	451658	Delftsewallen
104	93585	452054	Dorp
